Country,Year,Population
Bulgaria,2024,1.02E+11
Costa Rica,2002,16578820687
Costa Rica,2003,17271760507
Costa Rica,2004,18610594846
Costa Rica,2005,20040642477
Costa Rica,2006,22715540324
Costa Rica,2007,26884700709
Costa Rica,2008,30801745700
Costa Rica,2009,30745714313
Costa Rica,2010,37658616952
Costa Rica,2011,42762613699
Costa Rica,2012,47231655432
Costa Rica,2013,50949668842
Costa Rica,2014,52016408854
Costa Rica,2015,56441920821
Costa Rica,2016,58847019610
Costa Rica,2017,60516044657
Costa Rica,2018,62420164992
Costa Rica,2019,64417670521
Costa Rica,2020,62395610760
Costa Rica,2021,64960725734
Costa Rica,2022,69243626029
Costa Rica,2023,86497941439
Costa Rica,2024,86497941439
Djibouti,2002,591122039.6
Djibouti,2003,622044665.5
Djibouti,2004,666072101.8
Djibouti,2005,708633194.7
Djibouti,2006,768873684
Djibouti,2007,847918929.1
Djibouti,2008,999105339.3
Djibouti,2009,1049110685
Djibouti,2010,1128611700
Djibouti,2011,1239144502
Djibouti,2012,1353632942
Djibouti,2013,2042817163
Djibouti,2014,2214679081
Djibouti,2015,2424391785
Djibouti,2016,2604955229
Djibouti,2017,2762581334
Djibouti,2018,2913466732
Djibouti,2019,3088853639
Djibouti,2020,3185150981
Djibouti,2021,3385825229
Djibouti,2022,3674298479
Djibouti,2023,4098530514
Djibouti,2024,4098530514
Dominican Republic,2002,27137440786
Dominican Republic,2003,21403167848
Dominican Republic,2004,22322387382
Dominican Republic,2005,35777560684
Dominican Republic,2006,37879830084
Dominican Republic,2007,43965458509
Dominican Republic,2008,48122601530
Dominican Republic,2009,48261078914
Dominican Republic,2010,53860187258
Dominican Republic,2011,58029773599
Dominican Republic,2012,60681535653
Dominican Republic,2013,62682159338
Dominican Republic,2014,67179955677
Dominican Republic,2015,71164826837
Dominican Republic,2016,75704647878
Dominican Republic,2017,79998046306
Dominican Republic,2018,85555390139
Dominican Republic,2019,88941372558
Dominican Republic,2020,78844656298
Dominican Republic,2021,94243425938
Dominican Republic,2022,1.14E+11
Dominican Republic,2023,1.21E+11
Dominican Republic,2024,1.21E+11
El Salvador,2002,12664190300
El Salvador,2003,13243892200
El Salvador,2004,13724810900
El Salvador,2005,14698000000
El Salvador,2006,15999890000
El Salvador,2007,17011750000
El Salvador,2008,17986890000
El Salvador,2009,17601620000
El Salvador,2010,18447920000
El Salvador,2011,20283780000
El Salvador,2012,21386150000
El Salvador,2013,21990960000
El Salvador,2014,22593470000
El Salvador,2015,23438240000
El Salvador,2016,24191430000
El Salvador,2017,24979190000
El Salvador,2018,26020850000
El Salvador,2019,26881140000
El Salvador,2020,24921190000
El Salvador,2021,29043140000
El Salvador,2022,31988920000
El Salvador,2023,34015620000
El Salvador,2024,34015620000
Ethiopia,2002,7850809498
Ethiopia,2003,8623691300
Ethiopia,2004,10131187261
Ethiopia,2005,12401139454
Ethiopia,2006,15280861835
Ethiopia,2007,19707616773
Ethiopia,2008,27066912635
Ethiopia,2009,32437389116
Ethiopia,2010,29933790334
Ethiopia,2011,31952763089
Ethiopia,2012,43310721414
Ethiopia,2013,47648276605
Ethiopia,2014,55612228234
Ethiopia,2015,64589328551
Ethiopia,2016,74296745208
Ethiopia,2017,81770886826
Ethiopia,2018,84269196626
Ethiopia,2019,95912607722
Ethiopia,2019,95912607722
Ethiopia,2019,95912607722
Ethiopia,2019,95912607722
Ethiopia,2023,1.64E+11
Ethiopia,2024,1.64E+11
Guatemala,2002,20444205991
Guatemala,2003,21576351799
Guatemala,2004,23577298095
Guatemala,2005,26783389294
Guatemala,2006,29744246827
Guatemala,2007,33567850824
Guatemala,2008,38503720224
Guatemala,2009,37126148265
Guatemala,2010,40676578423
Guatemala,2011,46876006272
Guatemala,2012,49593929487
Guatemala,2013,52996446269
Guatemala,2014,57852153059
Guatemala,2015,62186064719
Guatemala,2016,66053403469
Guatemala,2017,71653754066
Guatemala,2018,73328365862
Guatemala,2019,77172317259
Guatemala,2020,77719464221
Guatemala,2021,86478835636
Guatemala,2022,95630524813
Guatemala,2023,1.04E+11
Guatemala,2024,1.04E+11
Haiti,2002,6205847214
Haiti,2003,5071947798
Haiti,2004,6087360684
Haiti,2005,7030149730
Haiti,2006,7638739123
Haiti,2007,9228637768
Haiti,2008,10432962635
Haiti,2009,11597002835
Haiti,2010,11859312725
Haiti,2011,13008746039
Haiti,2012,13708925477
Haiti,2013,14902488604
Haiti,2014,15146883498
Haiti,2015,14849629309
Haiti,2016,14069277526
Haiti,2017,15093357161
Haiti,2018,16403864618
Haiti,2019,15016090930
Haiti,2020,14508222518
Haiti,2021,20877414953
Haiti,2022,20253551921
Haiti,2023,19850829758
Haiti,2024,19850829758
Honduras,2002,7858255413
Honduras,2003,8230391347
Honduras,2004,8869299234
Honduras,2005,9757012697
Honduras,2006,10917477066
Honduras,2007,12361257681
Honduras,2008,13881731876
Honduras,2009,14587496229
Honduras,2010,15839344592
Honduras,2011,17710275685
Honduras,2012,18528554398
Honduras,2013,18499729215
Honduras,2014,19756533972
Honduras,2015,20979791685
Honduras,2016,21717604952
Honduras,2017,23136247991
Honduras,2018,24067750760
Honduras,2019,24882225742
Honduras,2020,23352232484
Honduras,2021,28144331507
Honduras,2022,31426041807
Honduras,2023,34400509852
Honduras,2024,34400509852
India,2002,5.15E+11
India,2003,6.08E+11
India,2004,7.09E+11
India,2005,8.20E+11
India,2006,9.40E+11
India,2007,1.22E+12
India,2008,1.20E+12
India,2009,1.34E+12
India,2010,1.68E+12
India,2011,1.82E+12
India,2012,1.83E+12
India,2013,1.86E+12
India,2014,2.04E+12
India,2015,2.10E+12
India,2016,2.29E+12
India,2017,2.65E+12
India,2018,2.70E+12
India,2019,2.84E+12
India,2020,2.67E+12
India,2021,3.17E+12
India,2022,3.35E+12
India,2023,3.57E+12
India,2024,3.57E+12
Indonesia,2002,1.96E+11
Indonesia,2003,2.35E+11
Indonesia,2004,2.57E+11
Indonesia,2005,2.86E+11
Indonesia,2006,3.65E+11
Indonesia,2007,4.32E+11
Indonesia,2008,5.10E+11
Indonesia,2009,5.40E+11
Indonesia,2010,7.55E+11
Indonesia,2011,8.93E+11
Indonesia,2012,9.18E+11
Indonesia,2013,9.13E+11
Indonesia,2014,8.91E+11
Indonesia,2015,8.61E+11
Indonesia,2016,9.32E+11
Indonesia,2017,1.02E+12
Indonesia,2018,1.04E+12
Indonesia,2019,1.12E+12
Indonesia,2020,1.06E+12
Indonesia,2021,1.19E+12
Indonesia,2022,1.32E+12
Indonesia,2023,1.37E+12
Indonesia,2024,1.37E+12
Iran (Islamic Republic Of),2002,1.29E+11
Iran (Islamic Republic Of),2003,1.52E+11
Iran (Islamic Republic Of),2004,1.88E+11
Iran (Islamic Republic Of),2005,2.25E+11
Iran (Islamic Republic Of),2006,2.66E+11
Iran (Islamic Republic Of),2007,3.50E+11
Iran (Islamic Republic Of),2008,4.06E+11
Iran (Islamic Republic Of),2009,4.14E+11
Iran (Islamic Republic Of),2010,4.87E+11
Iran (Islamic Republic Of),2011,6.29E+11
Iran (Islamic Republic Of),2012,6.44E+11
Iran (Islamic Republic Of),2013,5.00E+11
Iran (Islamic Republic Of),2014,4.62E+11
Iran (Islamic Republic Of),2015,4.09E+11
Iran (Islamic Republic Of),2016,4.59E+11
Iran (Islamic Republic Of),2017,4.89E+11
Iran (Islamic Republic Of),2018,3.99E+11
Iran (Islamic Republic Of),2019,3.34E+11
Iran (Islamic Republic Of),2020,2.62E+11
Iran (Islamic Republic Of),2021,3.83E+11
Iran (Islamic Republic Of),2022,3.94E+11
Iran (Islamic Republic Of),2023,4.05E+11
Iran (Islamic Republic Of),2024,4.05E+11
Jamaica,2002,9719009495
Jamaica,2003,9430234811
Jamaica,2004,10174664854
Jamaica,2005,11243865778
Jamaica,2006,11930179090
Jamaica,2007,12799600047
Jamaica,2008,13709401520
Jamaica,2009,12120458115
Jamaica,2010,13220549908
Jamaica,2011,14444661522
Jamaica,2012,14807086556
Jamaica,2013,14264205153
Jamaica,2014,13899217722
Jamaica,2015,14188936958
Jamaica,2016,14077096714
Jamaica,2017,14808985171
Jamaica,2018,15730792836
Jamaica,2019,15830766571
Jamaica,2020,13812421803
Jamaica,2021,14657586127
Jamaica,2022,17097760724
Jamaica,2023,19423355409
Jamaica,2024,19423355409
Kenya,2002,13147736899
Kenya,2003,14904517650
Kenya,2004,16095337094
Kenya,2005,18737895513
Kenya,2006,25825512284
Kenya,2007,31958195182
Kenya,2008,35895153328
Kenya,2009,42347217913
Kenya,2010,45405615064
Kenya,2011,46869473151
Kenya,2012,56396704672
Kenya,2013,61671440408
Kenya,2014,68285796514
Kenya,2015,70120446897
Kenya,2016,74815144164
Kenya,2017,82036510877
Kenya,2018,92202979985
Kenya,2019,1.00E+11
Kenya,2020,1.01E+11
Kenya,2021,1.10E+11
Kenya,2022,1.14E+11
Kenya,2023,1.08E+11
Kenya,2024,1.08E+11
Kyrgyzstan,2002,1605643105
Kyrgyzstan,2003,1919008090
Kyrgyzstan,2004,2211534585
Kyrgyzstan,2005,2460246766
Kyrgyzstan,2006,2834168889
Kyrgyzstan,2007,3802570553
Kyrgyzstan,2008,5139958909
Kyrgyzstan,2009,4690061381
Kyrgyzstan,2010,4794361863
Kyrgyzstan,2011,6197765984
Kyrgyzstan,2012,6605142884
Kyrgyzstan,2013,7335033801
Kyrgyzstan,2014,7468102413
Kyrgyzstan,2015,6678177512
Kyrgyzstan,2016,6813095379
Kyrgyzstan,2017,7702938379
Kyrgyzstan,2018,8271106235
Kyrgyzstan,2019,9371275264
Kyrgyzstan,2020,8270468614
Kyrgyzstan,2021,9249133946
Kyrgyzstan,2022,12134931018
Kyrgyzstan,2023,13987627909
Kyrgyzstan,2024,13987627909
Laos,2002,1758176653
Laos,2003,2023324407
Laos,2004,2366398120
Laos,2005,2735558735
Laos,2006,3455030061
Laos,2007,4223152739
Laos,2008,5446433157
Laos,2009,5836137330
Laos,2010,7131771015
Laos,2011,8750104617
Laos,2012,10192846339
Laos,2013,11983252627
Laos,2014,13279245886
Laos,2015,14426380126
Laos,2016,15912501723
Laos,2017,17071155481
Laos,2018,18141641090
Laos,2019,18740561513
Laos,2020,18981805250
Laos,2021,18827148531
Laos,2022,15468785204
Laos,2023,15843155731
Laos,2024,15843155731
Madagascar,2002,5351701663
Madagascar,2003,6372498890
Madagascar,2004,5064732626
Madagascar,2005,5859269753
Madagascar,2006,6395712491
Madagascar,2007,8524620890
Madagascar,2008,10725137724
Madagascar,2009,9616879409
Madagascar,2010,9982711338
Madagascar,2011,11551819618
Madagascar,2012,11578975062
Madagascar,2013,12423555455
Madagascar,2014,12522957399
Madagascar,2015,11323020701
Madagascar,2016,11848613858
Madagascar,2017,13176313594
Madagascar,2018,13760033282
Madagascar,2019,14104664679
Madagascar,2020,13051441204
Madagascar,2021,14554754117
Madagascar,2022,15134700203
Madagascar,2023,15790113247
Madagascar,2024,15790113247
Mexico,2002,8.11E+11
Mexico,2003,7.66E+11
Mexico,2004,8.19E+11
Mexico,2005,9.18E+11
Mexico,2006,1.02E+12
Mexico,2007,1.10E+12
Mexico,2008,1.16E+12
Mexico,2009,9.43E+11
Mexico,2010,1.11E+12
Mexico,2011,1.23E+12
Mexico,2012,1.26E+12
Mexico,2013,1.33E+12
Mexico,2014,1.36E+12
Mexico,2015,1.21E+12
Mexico,2016,1.11E+12
Mexico,2017,1.19E+12
Mexico,2018,1.26E+12
Mexico,2019,1.30E+12
Mexico,2020,1.12E+12
Mexico,2021,1.32E+12
Mexico,2022,1.46E+12
Mexico,2023,1.79E+12
Mexico,2024,1.79E+12
Morocco,2002,47077192188
Morocco,2003,58029363354
Morocco,2004,66114145451
Morocco,2005,68852658069
Morocco,2006,75883823301
Morocco,2007,86947913287
Morocco,2008,1.02E+11
Morocco,2009,1.01E+11
Morocco,2010,1.01E+11
Morocco,2011,1.10E+11
Morocco,2012,1.07E+11
Morocco,2013,1.16E+11
Morocco,2014,1.19E+11
Morocco,2015,1.10E+11
Morocco,2016,1.12E+11
Morocco,2017,1.19E+11
Morocco,2018,1.27E+11
Morocco,2019,1.29E+11
Morocco,2020,1.21E+11
Morocco,2021,1.42E+11
Morocco,2022,1.31E+11
Morocco,2023,1.44E+11
Morocco,2024,1.44E+11
Mozambique,2002,5950769427
Mozambique,2003,6583526861
Mozambique,2004,7937255565
Mozambique,2005,8868504900
Mozambique,2006,9509835537
Mozambique,2007,10811456006
Mozambique,2008,12920340965
Mozambique,2009,12263894790
Mozambique,2010,11411894724
Mozambique,2011,14619279989
Mozambique,2012,16688114144
Mozambique,2013,17198073057
Mozambique,2014,17978246586
Mozambique,2015,16208985770
Mozambique,2016,12069051237
Mozambique,2017,13264640646
Mozambique,2018,15017358953
Mozambique,2019,15512759047
Mozambique,2020,14235420174
Mozambique,2021,16168055475
Mozambique,2022,18883528581
Mozambique,2023,20954220984
Mozambique,2024,20954220984
Myanmar,2002,6777632512
Myanmar,2003,10467109978
Myanmar,2004,10567354056
Myanmar,2005,11986972419
Myanmar,2006,14502553710
Myanmar,2007,20182477481
Myanmar,2008,31862554102
Myanmar,2009,36906181381
Myanmar,2010,49540813342
Myanmar,2011,59977326086
Myanmar,2012,59937796648
Myanmar,2013,60269732855
Myanmar,2014,65531374200
Myanmar,2015,59607290408
Myanmar,2016,63298361996
Myanmar,2017,66053040483
Myanmar,2018,67860515990
Myanmar,2019,75065106228
Myanmar,2020,79006113643
Myanmar,2021,66345291160
Myanmar,2022,62253049892
Myanmar,2023,66757619000
Myanmar,2024,66757619000
Namibia,2002,3349169826
Namibia,2003,4926439384
Namibia,2004,6609205995
Namibia,2005,7248374838
Namibia,2006,8001779551
Namibia,2007,8839536476
Namibia,2008,8607431497
Namibia,2009,8938847189
Namibia,2010,11431412421
Namibia,2011,12523359441
Namibia,2012,13042053592
Namibia,2013,12043307277
Namibia,2014,12435430970
Namibia,2015,11335161084
Namibia,2016,10722018732
Namibia,2017,12895153371
Namibia,2018,13682019076
Namibia,2019,12541928303
Namibia,2020,10583748542
Namibia,2021,12402486184
Namibia,2022,12567271005
Namibia,2023,12351025067
Namibia,2024,12351025067
Nepal,2002,6050875807
Nepal,2003,6330473097
Nepal,2004,7273938315
Nepal,2005,8130258378
Nepal,2006,9043715356
Nepal,2007,10325618017
Nepal,2008,12545438605
Nepal,2009,12854985464
Nepal,2010,16002656434
Nepal,2011,21573872421
Nepal,2012,21703100877
Nepal,2013,22162204925
Nepal,2014,22731612922
Nepal,2015,24360801287
Nepal,2016,24524109484
Nepal,2017,28971588940
Nepal,2018,33111525237
Nepal,2019,34186180699
Nepal,2020,33433659301
Nepal,2021,36924841394
Nepal,2022,41182939601
Nepal,2023,40908073367
Nepal,2024,40908073367
Nicaragua,2002,5223727303
Nicaragua,2003,5322228351
Nicaragua,2004,5792932838
Nicaragua,2005,6321324455
Nicaragua,2006,6763688875
Nicaragua,2007,7423419480
Nicaragua,2008,8496948184
Nicaragua,2009,8298687306
Nicaragua,2010,8758572306
Nicaragua,2011,9774320144
Nicaragua,2012,10531980451
Nicaragua,2013,10982954744
Nicaragua,2014,11880433903
Nicaragua,2015,12756685550
Nicaragua,2016,13286101094
Nicaragua,2017,13785924216
Nicaragua,2018,13025234821
Nicaragua,2019,12699028890
Nicaragua,2020,12681569254
Nicaragua,2021,14144060853
Nicaragua,2022,15649897117
Nicaragua,2023,17829218219
Nicaragua,2024,17829218219
Niger (the),2002,2782192879
Niger (the),2003,3394084732
Niger (the),2004,3760443738
Niger (the),2005,4383315965
Niger (the),2006,4756361252
Niger (the),2007,5731485052
Niger (the),2008,7297600226
Niger (the),2009,7352131310
Niger (the),2010,7851192502
Niger (the),2011,8772950778
Niger (the),2012,9426912648
Niger (the),2013,10224897438
Niger (the),2014,10862943544
Niger (the),2015,9683867926
Niger (the),2016,10398861982
Niger (the),2017,11185104252
Niger (the),2018,12837307497
Niger (the),2019,12889555561
Niger (the),2020,13744653103
Niger (the),2021,14915002436
Niger (the),2022,15433852712
Niger (the),2023,16819170421
Niger (the),2024,16819170421
Pakistan,2002,97923302809
Pakistan,2003,1.12E+11
Pakistan,2004,1.32E+11
Pakistan,2005,1.45E+11
Pakistan,2006,1.62E+11
Pakistan,2007,1.84E+11
Pakistan,2008,2.02E+11
Pakistan,2009,1.87E+11
Pakistan,2010,1.97E+11
Pakistan,2011,2.31E+11
Pakistan,2012,2.50E+11
Pakistan,2013,2.59E+11
Pakistan,2014,2.71E+11
Pakistan,2015,3.00E+11
Pakistan,2016,3.14E+11
Pakistan,2017,3.39E+11
Pakistan,2018,3.56E+11
Pakistan,2019,3.21E+11
Pakistan,2020,3.00E+11
Pakistan,2021,3.49E+11
Pakistan,2022,3.75E+11
Pakistan,2023,3.38E+11
Pakistan,2024,3.38E+11
Peru,2002,54777553515
Peru,2003,58731030122
Peru,2004,66768703498
Peru,2005,76060606061
Peru,2006,88643193062
Peru,2007,1.02E+11
Peru,2008,1.21E+11
Peru,2009,1.21E+11
Peru,2010,1.48E+11
Peru,2011,1.72E+11
Peru,2012,1.93E+11
Peru,2013,2.01E+11
Peru,2014,2.01E+11
Peru,2015,1.90E+11
Peru,2016,1.92E+11
Peru,2017,2.11E+11
Peru,2018,2.23E+11
Peru,2019,2.28E+11
Peru,2020,2.01E+11
Peru,2021,2.26E+11
Peru,2022,2.46E+11
Peru,2023,2.68E+11
Peru,2024,2.68E+11
Philippines (the),2002,84307345888
Philippines (the),2003,87039092974
Philippines (the),2004,95001999685
Philippines (the),2005,1.07E+11
Philippines (the),2006,1.28E+11
Philippines (the),2007,1.56E+11
Philippines (the),2008,1.82E+11
Philippines (the),2009,1.76E+11
Philippines (the),2010,2.08E+11
Philippines (the),2011,2.34E+11
Philippines (the),2012,2.62E+11
Philippines (the),2013,2.84E+11
Philippines (the),2014,2.97E+11
Philippines (the),2015,3.06E+11
Philippines (the),2016,3.19E+11
Philippines (the),2017,3.28E+11
Philippines (the),2018,3.47E+11
Philippines (the),2019,3.77E+11
Philippines (the),2020,3.62E+11
Philippines (the),2021,3.94E+11
Philippines (the),2022,4.04E+11
Philippines (the),2023,4.37E+11
Philippines (the),2024,4.37E+11
Romania,2002,46065502703
Romania,2003,57806384143
Romania,2004,74973656852
Romania,2005,98454380120
Romania,2006,1.22E+11
Romania,2007,1.75E+11
Romania,2008,2.14E+11
Romania,2009,1.74E+11
Romania,2010,1.70E+11
Romania,2011,1.93E+11
Romania,2012,1.79E+11
Romania,2013,1.90E+11
Romania,2014,2.00E+11
Romania,2015,1.78E+11
Romania,2016,1.85E+11
Romania,2017,2.10E+11
Romania,2018,2.43E+11
Romania,2019,2.52E+11
Romania,2020,2.52E+11
Romania,2021,2.87E+11
Romania,2022,2.96E+11
Romania,2023,3.51E+11
Romania,2024,3.51E+11
Somalia,2003,2836724352
Somalia,2004,3859592813
Somalia,2005,4683246454
Somalia,2006,5026743282
Somalia,2007,5430713729
Somalia,2008,5913620293
Somalia,2009,2948594552
Somalia,2010,2687807004
Somalia,2011,2906000097
Somalia,2012,4364670160
Somalia,2013,5062881613
Somalia,2014,5728399711
Somalia,2015,6152149080
Somalia,2016,6613743090
Somalia,2017,7621501720
Somalia,2018,7873440838
Somalia,2019,8655023960
Somalia,2020,8628393720
Somalia,2021,9483997404
Somalia,2022,10202767270
Somalia,2023,10968517090
Somalia,2024,10968517090
South Africa,2002,1.29E+11
South Africa,2003,1.97E+11
South Africa,2004,2.56E+11
South Africa,2005,2.89E+11
South Africa,2006,3.04E+11
South Africa,2007,3.33E+11
South Africa,2008,3.16E+11
South Africa,2009,3.30E+11
South Africa,2010,4.17E+11
South Africa,2011,4.58E+11
South Africa,2012,4.34E+11
South Africa,2013,4.01E+11
South Africa,2014,3.81E+11
South Africa,2015,3.47E+11
South Africa,2016,3.24E+11
South Africa,2017,3.81E+11
South Africa,2018,4.05E+11
South Africa,2019,3.89E+11
South Africa,2020,3.38E+11
South Africa,2021,4.21E+11
South Africa,2022,4.07E+11
South Africa,2023,3.81E+11
South Africa,2024,3.81E+11
Sri Lanka,2002,16536535647
Sri Lanka,2003,18881765437
Sri Lanka,2004,20662525941
Sri Lanka,2005,24405791045
Sri Lanka,2006,28279802406
Sri Lanka,2007,32350238760
Sri Lanka,2008,40713826215
Sri Lanka,2009,42066224093
Sri Lanka,2010,58636161082
Sri Lanka,2011,67753284044
Sri Lanka,2012,70447216891
Sri Lanka,2013,77000578167
Sri Lanka,2014,82528535714
Sri Lanka,2015,85140955389
Sri Lanka,2016,88012282206
Sri Lanka,2017,94376237797
Sri Lanka,2018,94493871201
Sri Lanka,2019,89014978344
Sri Lanka,2020,84304298771
Sri Lanka,2021,88609324902
Sri Lanka,2022,74144870023
Sri Lanka,2023,84356863744
Sri Lanka,2024,84356863744
Tajikistan,2002,1221106220
Tajikistan,2003,1555318261
Tajikistan,2004,2076176869
Tajikistan,2005,2312352021
Tajikistan,2006,2830213849
Tajikistan,2007,3719524541
Tajikistan,2008,5161299725
Tajikistan,2009,4979472364
Tajikistan,2010,5642221099
Tajikistan,2011,6522756255
Tajikistan,2012,7633036903
Tajikistan,2013,8448411318
Tajikistan,2014,9112605459
Tajikistan,2015,8271431485
Tajikistan,2016,6992416097
Tajikistan,2017,7536402853
Tajikistan,2018,7764999999
Tajikistan,2019,8300813599
Tajikistan,2020,8133963551
Tajikistan,2021,8937805347
Tajikistan,2022,10713525200
Tajikistan,2023,12060602009
Tajikistan,2024,12060602009
Viet Nam,2002,35064105501
Viet Nam,2003,39552513232
Viet Nam,2004,45427854693
Viet Nam,2005,57633255738
Viet Nam,2006,66371664817
Viet Nam,2007,77414425532
Viet Nam,2008,99130304099
Viet Nam,2009,1.06E+11
Viet Nam,2010,1.47E+11
Viet Nam,2011,1.73E+11
Viet Nam,2012,1.96E+11
Viet Nam,2013,2.14E+11
Viet Nam,2014,2.33E+11
Viet Nam,2015,2.39E+11
Viet Nam,2016,2.57E+11
Viet Nam,2017,2.81E+11
Viet Nam,2018,3.10E+11
Viet Nam,2019,3.34E+11
Viet Nam,2020,3.47E+11
Viet Nam,2021,3.66E+11
Viet Nam,2022,4.10E+11
Viet Nam,2023,4.30E+11
Viet Nam,2024,4.30E+11
Yemen,2002,10693430511
Yemen,2003,11777532662
Yemen,2004,13867634371
Yemen,2005,16731566717
Yemen,2006,19063143370
Yemen,2007,21650528674
Yemen,2008,26910855807
Yemen,2009,25130278213
Yemen,2010,30906749533
Yemen,2011,32726417878
Yemen,2012,35401331610
Yemen,2013,40415233436
Yemen,2014,43228585321
Yemen,2015,42444489522
Yemen,2016,31317824943
Yemen,2017,26842228829
Yemen,2018,21606160784
Yemen,2019,21890000000
Yemen,2020,20220000000
Yemen,2021,19390000000
