Country,Year,Population
Costa Rica,2003,4138784.00
Costa Rica,2004,4200078.00
Costa Rica,2005,4261240.00
Costa Rica,2006,4321340.00
Costa Rica,2007,4380248.00
Costa Rica,2008,4440056.00
Costa Rica,2009,4499791.00
Costa Rica,2010,4555962.00
Costa Rica,2011,4609833.00
Costa Rica,2012,4663934.00
Costa Rica,2013,4716147.00
Costa Rica,2014,4767119.00
Costa Rica,2015,4818038.00
Costa Rica,2016,4866998.00
Costa Rica,2017,4913177.00
Costa Rica,2018,4957818.00
Costa Rica,2019,4999553.00
Costa Rica,2020,5034320.00
Costa Rica,2021,5059988.00
Costa Rica,2022,5081765.00
Costa Rica,2023,5105525.00
Costa Rica,2024,5105525.00
Djibouti,2002,795574.00
Djibouti,2003,813519.00
Djibouti,2004,826124.00
Djibouti,2005,839167.00
Djibouti,2006,855764.00
Djibouti,2007,874528.00
Djibouti,2008,892734.00
Djibouti,2009,911527.00
Djibouti,2010,930251.00
Djibouti,2011,948558.00
Djibouti,2012,966747.00
Djibouti,2013,984824.00
Djibouti,2014,1002717.00
Djibouti,2015,1020313.00
Djibouti,2016,1037653.00
Djibouti,2017,1054841.00
Djibouti,2018,1071882.00
Djibouti,2019,1088709.00
Djibouti,2020,1105188.00
Djibouti,2021,1121248.00
Djibouti,2022,1137096.00
Djibouti,2023,1152944.00
Djibouti,2024,1152944.00
Dominican Republic,2002,8852235.00
Dominican Republic,2003,8980620.00
Dominican Republic,2004,9104892.00
Dominican Republic,2005,9225034.00
Dominican Republic,2006,9341183.00
Dominican Republic,2007,9455658.00
Dominican Republic,2008,9573130.00
Dominican Republic,2009,9695265.00
Dominican Republic,2010,9820175.00
Dominican Republic,2011,9945621.00
Dominican Republic,2012,10070411.00
Dominican Republic,2013,10193833.00
Dominican Republic,2014,10315528.00
Dominican Republic,2015,10434829.00
Dominican Republic,2016,10551430.00
Dominican Republic,2017,10666843.00
Dominican Republic,2018,10782053.00
Dominican Republic,2019,10894043.00
Dominican Republic,2020,11008300.00
Dominican Republic,2021,11123476.00
Dominican Republic,2022,11230734.00
Dominican Republic,2023,11331265.00
Dominican Republic,2024,11331265.00
El Salvador,2002,5986631.00
El Salvador,2003,5998599.00
El Salvador,2004,6004671.00
El Salvador,2005,6005578.00
El Salvador,2006,6002319.00
El Salvador,2007,6009824.00
El Salvador,2008,6029297.00
El Salvador,2009,6048279.00
El Salvador,2010,6068249.00
El Salvador,2011,6090127.00
El Salvador,2012,6113975.00
El Salvador,2013,6138839.00
El Salvador,2014,6162955.00
El Salvador,2015,6183676.00
El Salvador,2016,6200800.00
El Salvador,2017,6213533.00
El Salvador,2018,6219807.00
El Salvador,2019,6222318.00
El Salvador,2020,6234673.00
El Salvador,2021,6255782.00
El Salvador,2022,6280319.00
El Salvador,2023,6309624.00
El Salvador,2024,6309624.00
Ethiopia,2002,71635517.00
Ethiopia,2003,73832663.00
Ethiopia,2004,76077206.00
Ethiopia,2005,78367470.00
Ethiopia,2006,80703490.00
Ethiopia,2007,83103217.00
Ethiopia,2008,85543668.00
Ethiopia,2009,88007636.00
Ethiopia,2010,90538514.00
Ethiopia,2011,93149970.00
Ethiopia,2012,95798767.00
Ethiopia,2013,98438751.00
Ethiopia,2014,101115610.00
Ethiopia,2015,103867135.00
Ethiopia,2016,106718162.00
Ethiopia,2017,109666481.00
Ethiopia,2018,112664152.00
Ethiopia,2019,115737383.00
Ethiopia,2019,115737383.00
Ethiopia,2019,115737383.00
Ethiopia,2019,115737383.00
Ethiopia,2023,128691692.00
Ethiopia,2024,128691692.00
Guatemala,2002,12246915.00
Guatemala,2003,12525842.00
Guatemala,2004,12807402.00
Guatemala,2005,13087629.00
Guatemala,2006,13367459.00
Guatemala,2007,13652040.00
Guatemala,2008,13935174.00
Guatemala,2009,14215611.00
Guatemala,2010,14500112.00
Guatemala,2011,14792126.00
Guatemala,2012,15089647.00
Guatemala,2013,15387337.00
Guatemala,2014,15681725.00
Guatemala,2015,15971743.00
Guatemala,2016,16268760.00
Guatemala,2017,16567357.00
Guatemala,2018,16845685.00
Guatemala,2019,17103803.00
Guatemala,2020,17357325.00
Guatemala,2021,17598650.00
Guatemala,2022,17847877.00
Guatemala,2023,18124838.00
Guatemala,2024,18124838.00
Haiti,2002,8607641.00
Haiti,2003,8759912.00
Haiti,2004,8910263.00
Haiti,2005,9061273.00
Haiti,2006,9216562.00
Haiti,2007,9373296.00
Haiti,2008,9530774.00
Haiti,2009,9689581.00
Haiti,2010,9803294.00
Haiti,2011,9914904.00
Haiti,2012,10069771.00
Haiti,2013,10222362.00
Haiti,2014,10373235.00
Haiti,2015,10523242.00
Haiti,2016,10671457.00
Haiti,2017,10817754.00
Haiti,2018,10962362.00
Haiti,2019,11105163.00
Haiti,2020,11243848.00
Haiti,2021,11374586.00
Haiti,2022,11503606.00
Haiti,2023,11637398.00
Haiti,2024,11637398.00
Honduras,2002,6938859.00
Honduras,2003,7119213.00
Honduras,2004,7298994.00
Honduras,2005,7478355.00
Honduras,2006,7656832.00
Honduras,2007,7834798.00
Honduras,2008,8012587.00
Honduras,2009,8189899.00
Honduras,2010,8365878.00
Honduras,2011,8540583.00
Honduras,2012,8715076.00
Honduras,2013,8889278.00
Honduras,2014,9063122.00
Honduras,2015,9237305.00
Honduras,2016,9412380.00
Honduras,2017,9588137.00
Honduras,2018,9765210.00
Honduras,2019,9943633.00
Honduras,2020,10119640.00
Honduras,2021,10289877.00
Honduras,2022,10463872.00
Honduras,2023,10644851.00
Honduras,2024,10644851.00
India,2002,1097600380.00
India,2003,1116803006.00
India,2004,1135991513.00
India,2005,1154676322.00
India,2006,1172878890.00
India,2007,1190676021.00
India,2008,1207930964.00
India,2009,1225524753.00
India,2010,1243481564.00
India,2011,1261224954.00
India,2012,1278674502.00
India,2013,1295829511.00
India,2014,1312277191.00
India,2015,1328024498.00
India,2016,1343944296.00
India,2017,1359657400.00
India,2018,1374659064.00
India,2019,1389030312.00
India,2020,1402617695.00
India,2021,1414203896.00
India,2022,1425423212.00
India,2023,1438069596.00
India,2024,1438069596.00
Indonesia,2002,222088495.00
Indonesia,2003,225048008.00
Indonesia,2004,227926649.00
Indonesia,2005,230871650.00
Indonesia,2006,233951652.00
Indonesia,2007,237062337.00
Indonesia,2008,240157903.00
Indonesia,2009,243220028.00
Indonesia,2010,246305322.00
Indonesia,2011,249470032.00
Indonesia,2012,252698525.00
Indonesia,2013,255852467.00
Indonesia,2014,258877399.00
Indonesia,2015,261799249.00
Indonesia,2016,264627418.00
Indonesia,2017,267346658.00
Indonesia,2018,269951846.00
Indonesia,2019,272489381.00
Indonesia,2020,274814866.00
Indonesia,2021,276758053.00
Indonesia,2022,278830529.00
Indonesia,2023,281190067.00
Indonesia,2024,281190067.00
Iran (Islamic Republic Of),2002,68011317.00
Iran (Islamic Republic Of),2003,68769340.00
Iran (Islamic Republic Of),2004,70256316.00
Iran (Islamic Republic Of),2005,71828455.00
Iran (Islamic Republic Of),2006,73392747.00
Iran (Islamic Republic Of),2007,74602648.00
Iran (Islamic Republic Of),2008,75514204.00
Iran (Islamic Republic Of),2009,76457825.00
Iran (Islamic Republic Of),2010,77420842.00
Iran (Islamic Republic Of),2011,78383598.00
Iran (Islamic Republic Of),2012,79370580.00
Iran (Islamic Republic Of),2013,80414686.00
Iran (Islamic Republic Of),2014,81502045.00
Iran (Islamic Republic Of),2015,82619362.00
Iran (Islamic Republic Of),2016,83812228.00
Iran (Islamic Republic Of),2017,85026754.00
Iran (Islamic Republic Of),2018,86117998.00
Iran (Islamic Republic Of),2019,87051648.00
Iran (Islamic Republic Of),2020,87723443.00
Iran (Islamic Republic Of),2021,88455488.00
Iran (Islamic Republic Of),2022,89524246.00
Iran (Islamic Republic Of),2023,90608707.00
Iran (Islamic Republic Of),2024,90608707.00
Jamaica,2002,2640572.00
Jamaica,2003,2656623.00
Jamaica,2004,2672225.00
Jamaica,2005,2687066.00
Jamaica,2006,2700968.00
Jamaica,2007,2713800.00
Jamaica,2008,2725635.00
Jamaica,2009,2736995.00
Jamaica,2010,2748568.00
Jamaica,2011,2760494.00
Jamaica,2012,2772430.00
Jamaica,2013,2783687.00
Jamaica,2014,2793749.00
Jamaica,2015,2802534.00
Jamaica,2016,2809915.00
Jamaica,2017,2815764.00
Jamaica,2018,2820097.00
Jamaica,2019,2823271.00
Jamaica,2020,2830739.00
Jamaica,2021,2837682.00
Jamaica,2022,2839144.00
Jamaica,2023,2839786.00
Jamaica,2024,2839786.00
Kenya,2002,32629808.00
Kenya,2003,33652223.00
Kenya,2004,34713455.00
Kenya,2005,35796484.00
Kenya,2006,36904008.00
Kenya,2007,38036349.00
Kenya,2008,39206351.00
Kenya,2009,40408891.00
Kenya,2010,41598567.00
Kenya,2011,42758461.00
Kenya,2012,43888303.00
Kenya,2013,44986791.00
Kenya,2014,46051440.00
Kenya,2015,47088526.00
Kenya,2016,48139687.00
Kenya,2017,49197766.00
Kenya,2018,50207107.00
Kenya,2019,51202827.00
Kenya,2020,52217334.00
Kenya,2021,53219166.00
Kenya,2022,54252461.00
Kenya,2023,55339003.00
Kenya,2024,55339003.00
Kyrgyzstan,2002,4990704.00
Kyrgyzstan,2003,5043308.00
Kyrgyzstan,2004,5104713.00
Kyrgyzstan,2005,5162640.00
Kyrgyzstan,2006,5218373.00
Kyrgyzstan,2007,5268385.00
Kyrgyzstan,2008,5318729.00
Kyrgyzstan,2009,5389643.00
Kyrgyzstan,2010,5467059.00
Kyrgyzstan,2011,5546587.00
Kyrgyzstan,2012,5652076.00
Kyrgyzstan,2013,5777150.00
Kyrgyzstan,2014,5905848.00
Kyrgyzstan,2015,6040036.00
Kyrgyzstan,2016,6175338.00
Kyrgyzstan,2017,6306696.00
Kyrgyzstan,2018,6444079.00
Kyrgyzstan,2019,6590211.00
Kyrgyzstan,2020,6726596.00
Kyrgyzstan,2021,6851224.00
Kyrgyzstan,2022,6975220.00
Kyrgyzstan,2023,7099750.00
Kyrgyzstan,2024,7099750.00
Laos,2002,5610889.00
Laos,2003,5697945.00
Laos,2004,5781626.00
Laos,2005,5869523.00
Laos,2006,5963200.00
Laos,2007,6056236.00
Laos,2008,6148969.00
Laos,2009,6241642.00
Laos,2010,6334194.00
Laos,2011,6426590.00
Laos,2012,6518978.00
Laos,2013,6611385.00
Laos,2014,6703172.00
Laos,2015,6801645.00
Laos,2016,6908802.00
Laos,2017,7018147.00
Laos,2018,7128045.00
Laos,2019,7237636.00
Laos,2020,7346533.00
Laos,2021,7453194.00
Laos,2022,7559007.00
Laos,2023,7664993.00
Laos,2024,7664993.00
Madagascar,2002,17549913.00
Madagascar,2003,18071854.00
Madagascar,2004,18606608.00
Madagascar,2005,19159707.00
Madagascar,2006,19730909.00
Madagascar,2007,20318583.00
Madagascar,2008,20923840.00
Madagascar,2009,21547280.00
Madagascar,2010,22183340.00
Madagascar,2011,22822300.00
Madagascar,2012,23462438.00
Madagascar,2013,24109290.00
Madagascar,2014,24764348.00
Madagascar,2015,25426702.00
Madagascar,2016,26099952.00
Madagascar,2017,26788375.00
Madagascar,2018,27494926.00
Madagascar,2019,28219554.00
Madagascar,2020,28953556.00
Madagascar,2021,29691083.00
Madagascar,2022,30437261.00
Madagascar,2023,31195932.00
Madagascar,2024,31195932.00
Mexico,2002,101548624.00
Mexico,2003,102978515.00
Mexico,2004,104394131.00
Mexico,2005,105811504.00
Mexico,2006,107253666.00
Mexico,2007,108774360.00
Mexico,2008,110374288.00
Mexico,2009,111999721.00
Mexico,2010,113623895.00
Mexico,2011,115243504.00
Mexico,2012,116818208.00
Mexico,2013,118343573.00
Mexico,2014,119784261.00
Mexico,2015,121072306.00
Mexico,2016,122251351.00
Mexico,2017,123400057.00
Mexico,2018,124573711.00
Mexico,2019,125762982.00
Mexico,2020,126799054.00
Mexico,2021,127648148.00
Mexico,2022,128613117.00
Mexico,2023,129739759.00
Mexico,2024,129739759.00
Morocco,2002,29198142.00
Morocco,2003,29571415.00
Morocco,2004,29953018.00
Morocco,2005,30358144.00
Morocco,2006,30771178.00
Morocco,2007,31186468.00
Morocco,2008,31606767.00
Morocco,2009,32030778.00
Morocco,2010,32467016.00
Morocco,2011,32912588.00
Morocco,2012,33355241.00
Morocco,2013,33787571.00
Morocco,2014,34204780.00
Morocco,2015,34607588.00
Morocco,2016,35023457.00
Morocco,2017,35446392.00
Morocco,2018,35839760.00
Morocco,2019,36210898.00
Morocco,2020,36584208.00
Morocco,2021,36954442.00
Morocco,2022,37329064.00
Morocco,2023,37712505.00
Morocco,2024,37712505.00
Mozambique,2002,18958338.00
Mozambique,2003,19392475.00
Mozambique,2004,19840313.00
Mozambique,2005,20304569.00
Mozambique,2006,20787087.00
Mozambique,2007,21287635.00
Mozambique,2008,21819036.00
Mozambique,2009,22391745.00
Mozambique,2010,22999235.00
Mozambique,2011,23649039.00
Mozambique,2012,24337846.00
Mozambique,2013,25051611.00
Mozambique,2014,25788475.00
Mozambique,2015,26547572.00
Mozambique,2016,27337105.00
Mozambique,2017,28166393.00
Mozambique,2018,29018644.00
Mozambique,2019,29884380.00
Mozambique,2020,30783688.00
Mozambique,2021,31707800.00
Mozambique,2022,32656246.00
Mozambique,2023,33635160.00
Mozambique,2024,33635160.00
Myanmar,2002,46232653.00
Myanmar,2003,46667192.00
Myanmar,2004,47068772.00
Myanmar,2005,47438365.00
Myanmar,2006,47785135.00
Myanmar,2007,48125043.00
Myanmar,2008,48390793.00
Myanmar,2009,48660459.00
Myanmar,2010,49024382.00
Myanmar,2011,49419820.00
Myanmar,2012,49837446.00
Myanmar,2013,50262658.00
Myanmar,2014,50681634.00
Myanmar,2015,51089056.00
Myanmar,2016,51495696.00
Myanmar,2017,51894938.00
Myanmar,2018,52272247.00
Myanmar,2019,52640713.00
Myanmar,2020,53016522.00
Myanmar,2021,53387102.00
Myanmar,2022,53756787.00
Myanmar,2023,54133798.00
Myanmar,2024,54133798.00
Namibia,2002,1889970.00
Namibia,2003,1917464.00
Namibia,2004,1942082.00
Namibia,2005,1966582.00
Namibia,2006,1991888.00
Namibia,2007,2018600.00
Namibia,2008,2047056.00
Namibia,2009,2077394.00
Namibia,2010,2109811.00
Namibia,2011,2146325.00
Namibia,2012,2194654.00
Namibia,2013,2252508.00
Namibia,2014,2312139.00
Namibia,2015,2374300.00
Namibia,2016,2439213.00
Namibia,2017,2506853.00
Namibia,2018,2577327.00
Namibia,2019,2650494.00
Namibia,2020,2728762.00
Namibia,2021,2810548.00
Namibia,2022,2889662.00
Namibia,2023,2963095.00
Namibia,2024,2963095.00
Nepal,2002,25328981.00
Nepal,2003,25688758.00
Nepal,2004,26016656.00
Nepal,2005,26309458.00
Nepal,2006,26565425.00
Nepal,2007,26788492.00
Nepal,2008,26990037.00
Nepal,2009,27173035.00
Nepal,2010,27341952.00
Nepal,2011,27464494.00
Nepal,2012,27534915.00
Nepal,2013,27589996.00
Nepal,2014,27672370.00
Nepal,2015,27823629.00
Nepal,2016,27955462.00
Nepal,2017,28011258.00
Nepal,2018,28079689.00
Nepal,2019,28414064.00
Nepal,2020,28966574.00
Nepal,2021,29475010.00
Nepal,2022,29715436.00
Nepal,2023,29694614.00
Nepal,2024,29694614.00
Nicaragua,2002,5149909.00
Nicaragua,2003,5210963.00
Nicaragua,2004,5272912.00
Nicaragua,2005,5342105.00
Nicaragua,2006,5418855.00
Nicaragua,2007,5497243.00
Nicaragua,2008,5576593.00
Nicaragua,2009,5656601.00
Nicaragua,2010,5737450.00
Nicaragua,2011,5819051.00
Nicaragua,2012,5901287.00
Nicaragua,2013,5983845.00
Nicaragua,2014,6066492.00
Nicaragua,2015,6149417.00
Nicaragua,2016,6232666.00
Nicaragua,2017,6316231.00
Nicaragua,2018,6400080.00
Nicaragua,2019,6483657.00
Nicaragua,2020,6565267.00
Nicaragua,2021,6644741.00
Nicaragua,2022,6730654.00
Nicaragua,2023,6823613.00
Nicaragua,2024,6823613.00
Niger (the),2002,12349144.00
Niger (the),2003,12796984.00
Niger (the),2004,13265836.00
Niger (the),2005,13756192.00
Niger (the),2006,14268581.00
Niger (the),2007,14803610.00
Niger (the),2008,15361915.00
Niger (the),2009,15943675.00
Niger (the),2010,16548835.00
Niger (the),2011,17176283.00
Niger (the),2012,17836769.00
Niger (the),2013,18519898.00
Niger (the),2014,19215909.00
Niger (the),2015,19939498.00
Niger (the),2016,20685753.00
Niger (the),2017,21435446.00
Niger (the),2018,22188069.00
Niger (the),2019,22947757.00
Niger (the),2020,23717613.00
Niger (the),2021,24502140.00
Niger (the),2022,25311973.00
Niger (the),2023,26159867.00
Niger (the),2024,26159867.00
Pakistan,2002,163222549.00
Pakistan,2003,167110248.00
Pakistan,2004,171286000.00
Pakistan,2005,175453212.00
Pakistan,2006,179682690.00
Pakistan,2007,184493231.00
Pakistan,2008,189499113.00
Pakistan,2009,194376534.00
Pakistan,2010,199239047.00
Pakistan,2011,203746065.00
Pakistan,2012,207667125.00
Pakistan,2013,211073978.00
Pakistan,2014,214264647.00
Pakistan,2015,217290883.00
Pakistan,2016,220138869.00
Pakistan,2017,223273967.00
Pakistan,2018,226928892.00
Pakistan,2019,230800899.00
Pakistan,2020,235001746.00
Pakistan,2021,239477801.00
Pakistan,2022,243700667.00
Pakistan,2023,247504495.00
Pakistan,2024,247504495.00
Peru,2002,27288217.00
Peru,2003,27580490.00
Peru,2004,27852190.00
Peru,2005,28101180.00
Peru,2006,28324491.00
Peru,2007,28530699.00
Peru,2008,28719041.00
Peru,2009,28896811.00
Peru,2010,29086019.00
Peru,2011,29304086.00
Peru,2012,29550366.00
Peru,2013,29817919.00
Peru,2014,30115826.00
Peru,2015,30457600.00
Peru,2016,30866494.00
Peru,2017,31324637.00
Peru,2018,31897584.00
Peru,2019,32449303.00
Peru,2020,32838579.00
Peru,2021,33155882.00
Peru,2022,33475438.00
Peru,2023,33845617.00
Peru,2024,33845617.00
Philippines (the),2002,83068889.00
Philippines (the),2003,84731835.00
Philippines (the),2004,86394504.00
Philippines (the),2005,88015962.00
Philippines (the),2006,89508986.00
Philippines (the),2007,91075184.00
Philippines (the),2008,92699095.00
Philippines (the),2009,94384250.00
Philippines (the),2010,96337125.00
Philippines (the),2011,98248614.00
Philippines (the),2012,100175512.00
Philippines (the),2013,102076336.00
Philippines (the),2014,103767130.00
Philippines (the),2015,105312992.00
Philippines (the),2016,106735719.00
Philippines (the),2017,108119693.00
Philippines (the),2018,109465287.00
Philippines (the),2019,110804683.00
Philippines (the),2020,112081264.00
Philippines (the),2021,113100950.00
Philippines (the),2022,113964338.00
Philippines (the),2023,114891199.00
Philippines (the),2024,114891199.00
Romania,2002,21730496.00
Romania,2003,21574326.00
Romania,2004,21451748.00
Romania,2005,21319685.00
Romania,2006,21193760.00
Romania,2007,20882982.00
Romania,2008,20537875.00
Romania,2009,20367487.00
Romania,2010,20246871.00
Romania,2011,20147528.00
Romania,2012,20058035.00
Romania,2013,19983693.00
Romania,2014,19908979.00
Romania,2015,19815616.00
Romania,2016,19702267.00
Romania,2017,19588715.00
Romania,2018,19473970.00
Romania,2019,19371648.00
Romania,2020,19265250.00
Romania,2021,19122059.00
Romania,2022,19048502.00
Romania,2023,19059479.00
Romania,2024,19059479.00
Somalia,2003,9909157.00
Somalia,2004,10280998.00
Somalia,2005,10644228.00
Somalia,2006,10975502.00
Somalia,2007,11322582.00
Somalia,2008,11663084.00
Somalia,2009,11961201.00
Somalia,2010,12261756.00
Somalia,2011,12348830.00
Somalia,2012,12461160.00
Somalia,2013,12869594.00
Somalia,2014,13339491.00
Somalia,2015,13806963.00
Somalia,2016,14348740.00
Somalia,2017,14916629.00
Somalia,2018,15452487.00
Somalia,2019,16030971.00
Somalia,2020,16651191.00
Somalia,2021,17271431.00
Somalia,2022,17801897.00
Somalia,2023,18358615.00
Somalia,2024,18358615.00
South Africa,2002,48019415.00
South Africa,2003,48500348.00
South Africa,2004,48991421.00
South Africa,2005,49490033.00
South Africa,2006,49998277.00
South Africa,2007,50528584.00
South Africa,2008,51114599.00
South Africa,2009,51728516.00
South Africa,2010,52344051.00
South Africa,2011,52995205.00
South Africa,2012,53782567.00
South Africa,2013,54678791.00
South Africa,2014,55594838.00
South Africa,2015,56723537.00
South Africa,2016,57259551.00
South Africa,2017,57635162.00
South Africa,2018,58613001.00
South Africa,2019,59587885.00
South Africa,2020,60562381.00
South Africa,2021,61502603.00
South Africa,2022,62378410.00
South Africa,2023,63212384.00
South Africa,2024,63212384.00
Sri Lanka,2002,19805752.00
Sri Lanka,2003,19951521.00
Sri Lanka,2004,20087605.00
Sri Lanka,2005,20216524.00
Sri Lanka,2006,20352411.00
Sri Lanka,2007,20492545.00
Sri Lanka,2008,20629378.00
Sri Lanka,2009,20756435.00
Sri Lanka,2010,20879089.00
Sri Lanka,2011,21009048.00
Sri Lanka,2012,21169458.00
Sri Lanka,2013,20585000.00
Sri Lanka,2014,20778000.00
Sri Lanka,2015,20970000.00
Sri Lanka,2016,21209000.00
Sri Lanka,2017,21444000.00
Sri Lanka,2018,21670000.00
Sri Lanka,2019,21803000.00
Sri Lanka,2020,21919000.00
Sri Lanka,2021,22156000.00
Sri Lanka,2022,22181000.00
Sri Lanka,2023,22037000.00
Sri Lanka,2024,22037000.00
Tajikistan,2002,6531669.00
Tajikistan,2003,6658575.00
Tajikistan,2004,6790547.00
Tajikistan,2005,6924720.00
Tajikistan,2006,7057566.00
Tajikistan,2007,7194477.00
Tajikistan,2008,7338403.00
Tajikistan,2009,7490230.00
Tajikistan,2010,7652141.00
Tajikistan,2011,7824785.00
Tajikistan,2012,8014084.00
Tajikistan,2013,8216724.00
Tajikistan,2014,8425552.00
Tajikistan,2015,8643840.00
Tajikistan,2016,8865631.00
Tajikistan,2017,9085946.00
Tajikistan,2018,9307333.00
Tajikistan,2019,9529966.00
Tajikistan,2020,9749310.00
Tajikistan,2021,9966908.00
Tajikistan,2022,10182222.00
Tajikistan,2023,10389799.00
Tajikistan,2024,10389799.00
Viet Nam,2002,78772224.00
Viet Nam,2003,79563777.00
Viet Nam,2004,80338971.00
Viet Nam,2005,81088313.00
Viet Nam,2006,82167897.00
Viet Nam,2007,83633375.00
Viet Nam,2008,85175788.00
Viet Nam,2009,86460018.00
Viet Nam,2010,87455152.00
Viet Nam,2011,88468314.00
Viet Nam,2012,89510356.00
Viet Nam,2013,90573104.00
Viet Nam,2014,91679578.00
Viet Nam,2015,92823254.00
Viet Nam,2016,94000117.00
Viet Nam,2017,95176977.00
Viet Nam,2018,96237319.00
