Serial,Event,&quot;Governorate&quot;,Date (YMD),Directly affected,Indirectly Affected,Losses $USD
6905,ACCIDENT,Taizz,01/01/2023,0,0,0
6904,ACCIDENT,Taizz,01/01/2023,0,0,0
6903,ACCIDENT,Taizz,01/01/2023,0,0,0
6902,ACCIDENT,Taizz,01/01/2023,0,0,0
6901,ACCIDENT,Aden,01/01/2023,0,0,0
6900,ACCIDENT,Aden,01/01/2023,0,0,0
6899,ACCIDENT,Aden,30/12/2022,0,0,0
6898,ACCIDENT,Aden,30/12/2022,0,0,0
6897,ACCIDENT,Aden,30/12/2022,0,0,0
6896,ACCIDENT,Al Hudaydah,28/12/2022,0,0,0
6896,ACCIDENT,Al Hudaydah,28/12/2022,0,0,0
6895,ACCIDENT,Al Hudaydah,28/12/2022,0,0,0
6894,ACCIDENT,Al Hudaydah,28/12/2022,0,0,0
6894,ACCIDENT,Al Hudaydah,28/12/2022,0,0,0
6893,ACCIDENT,Socotra,29/12/2022,0,0,0
6892,ACCIDENT,Socotra,28/12/2022,0,0,0
6891,ACCIDENT,Al Maharah,29/12/2022,0,0,0
6890,ACCIDENT,Al Maharah,29/12/2022,0,0,0
6889,ACCIDENT,Al Maharah,28/12/2022,0,0,0
6888,ACCIDENT,Al Maharah,27/12/2022,0,0,0
6888,ACCIDENT,Al Maharah,27/12/2022,0,0,0
6888,ACCIDENT,Al Maharah,27/12/2022,0,0,0
6887,FLOOD,Hadramaut,29/12/2022,0,0,0
6886,ACCIDENT,Hadramaut,28/12/2022,0,0,0
6885,ACCIDENT,Hadramaut,28/12/2022,0,0,0
6885,ACCIDENT,Hadramaut,28/12/2022,0,0,0
6885,ACCIDENT,Hadramaut,28/12/2022,0,0,0
6884,ACCIDENT,Hadramaut,28/12/2022,0,0,0
6884,ACCIDENT,Hadramaut,28/12/2022,0,0,0
6883,ACCIDENT,Hadramaut,27/12/2022,0,0,0
6881,ACCIDENT,Marib,27/12/2022,0,0,0
6880,ACCIDENT,Marib,25/12/2022,0,0,0
6880,ACCIDENT,Marib,25/12/2022,0,0,0
6879,ACCIDENT,Marib,24/12/2022,0,0,0
6879,ACCIDENT,Marib,24/12/2022,0,0,0
6878,ACCIDENT,Marib,24/12/2022,0,0,0
6875,ACCIDENT,Shabwah,27/12/2022,0,0,0
6874,ACCIDENT,Shabwah,27/12/2022,0,0,0
6873,EXPLOSION,Abyan,26/12/2022,0,0,0
6873,EXPLOSION,Abyan,26/12/2022,0,0,0
6871,EXPLOSION,Abyan,26/12/2022,0,0,0
6871,EXPLOSION,Abyan,26/12/2022,0,0,0
6870,ACCIDENT,Marib,26/12/2022,0,0,0
6869,Dropp off,Marib,26/12/2022,0,0,0
6868,ACCIDENT,Taizz,26/12/2022,0,0,0
6868,ACCIDENT,Taizz,26/12/2022,0,0,0
6868,ACCIDENT,Taizz,26/12/2022,0,0,0
6867,ACCIDENT,Taizz,26/12/2022,0,0,0
6866,ACCIDENT,Shabwah,26/12/2022,0,0,0
6865,ACCIDENT,Shabwah,26/12/2022,0,0,0
6864,ACCIDENT,Shabwah,25/12/2022,0,0,0
6863,ACCIDENT,Taizz,26/12/2022,0,0,0
6863,ACCIDENT,Taizz,26/12/2022,0,0,0
6862,ACCIDENT,Abyan,25/12/2022,0,0,0
6862,ACCIDENT,Abyan,25/12/2022,0,0,0
6861,ACCIDENT,Abyan,25/12/2022,0,0,0
6861,ACCIDENT,Abyan,25/12/2022,0,0,0
6860,projectile,Al Dhale'e,25/12/2022,0,0,0
6859,ACCIDENT,Al Dhale'e,25/12/2022,0,0,0
6858,ACCIDENT,Lahj,25/12/2022,0,0,0
6857,ACCIDENT,Taizz,25/12/2022,5,0,0
6856,projectile,Taizz,25/12/2022,0,0,0
6855,ACCIDENT,Taizz,25/12/2022,0,0,0
6855,ACCIDENT,Taizz,25/12/2022,0,0,0
6853,ACCIDENT,Aden,25/12/2022,0,0,0
6853,ACCIDENT,Aden,25/12/2022,0,0,0
6852,ACCIDENT,Aden,25/12/2022,0,0,0
6849,ACCIDENT,Abyan,22/12/2022,0,0,0
6848,ACCIDENT,Al Hudaydah,21/12/2022,0,0,0
6847,ACCIDENT,Al Hudaydah,21/12/2022,0,0,0
6846,ACCIDENT,Socotra,21/12/2022,0,0,0
6845,ACCIDENT,Socotra,21/12/2022,0,0,0
6844,ACCIDENT,Socotra,19/12/2022,0,0,0
6843,ACCIDENT,Al Maharah,21/12/2022,0,0,0
6842,ACCIDENT,Al Maharah,21/12/2022,0,0,0
6841,ACCIDENT,Al Maharah,19/12/2022,0,0,0
6840,ACCIDENT,Al Maharah,19/12/2022,0,0,0
6840,ACCIDENT,Al Maharah,19/12/2022,0,0,0
6838,ACCIDENT,Hadramaut,21/12/2022,0,0,0
6837,ACCIDENT,Hadramaut,20/12/2022,0,0,0
6836,ACCIDENT,Hadramaut,19/12/2022,0,0,0
6832,ACCIDENT,Hadramaut,21/12/2022,0,0,0
6830,ACCIDENT,Hadramaut,21/12/2022,0,0,0
6829,ACCIDENT,Hadramaut,20/12/2022,0,0,0
6828,ACCIDENT,Marib,21/12/2022,0,0,0
6827,ACCIDENT,Marib,20/12/2022,0,0,0
6826,ACCIDENT,Marib,19/12/2022,0,0,0
6826,ACCIDENT,Marib,19/12/2022,0,0,0
6824,ACCIDENT,Shabwah,21/12/2022,0,0,0
6824,ACCIDENT,Shabwah,21/12/2022,0,0,0
6823,ACCIDENT,Shabwah,21/12/2022,0,0,0
6823,ACCIDENT,Shabwah,21/12/2022,0,0,0
6823,ACCIDENT,Shabwah,21/12/2022,0,0,0
6822,ACCIDENT,Shabwah,20/12/2022,0,0,0
6821,ACCIDENT,Shabwah,20/12/2022,0,0,0
6819,ACCIDENT,Abyan,21/12/2022,0,0,0
6817,ACCIDENT,Shabwah,19/12/2022,0,0,0
6816,ACCIDENT,Shabwah,18/12/2022,0,0,0
6815,ACCIDENT,Abyan,20/12/2022,0,0,0
6814,ACCIDENT,Abyan,20/12/2022,0,0,0
6813,ACCIDENT,Al Dhale'e,18/12/2022,0,0,0
6812,ACCIDENT,Al Dhale'e,20/12/2022,0,0,0
6812,ACCIDENT,Al Dhale'e,20/12/2022,0,0,0
6811,ACCIDENT,Al Dhale'e,20/12/2022,0,0,0
6810,ACCIDENT,Al Dhale'e,19/12/2022,0,0,0
6809,ACCIDENT,Lahj,20/12/2022,0,0,0
6808,ACCIDENT,Lahj,20/12/2022,0,0,0
6807,ACCIDENT,Lahj,20/12/2022,0,0,0
6806,ACCIDENT,Taizz,19/12/2022,0,0,0
6805,ACCIDENT,Taizz,20/12/2022,0,0,0
6803,ACCIDENT,Taizz,20/12/2022,0,0,0
6802,ACCIDENT,Taizz,20/12/2022,0,0,0
6801,ACCIDENT,Aden,20/12/2022,3,0,0
6800,ACCIDENT,Aden,18/12/2022,0,0,0
6800,ACCIDENT,Aden,18/12/2022,0,0,0
6799,ACCIDENT,Aden,17/12/2022,0,0,0
6799,ACCIDENT,Aden,17/12/2022,0,0,0
6798,ACCIDENT,Aden,19/12/2022,0,0,0
6798,ACCIDENT,Aden,19/12/2022,0,0,0
6797,ACCIDENT,Aden,19/12/2022,0,0,0
6797,ACCIDENT,Aden,19/12/2022,0,0,0
6797,ACCIDENT,Aden,19/12/2022,0,0,0
6797,ACCIDENT,Aden,19/12/2022,0,0,0
6796,ACCIDENT,Abyan,16/12/2022,0,0,0
6794,ACCIDENT,Hadramaut,15/12/2022,0,0,0
6793,ACCIDENT,Al Maharah,14/12/2022,0,0,0
6792,FLOOD,Al Maharah,13/12/2022,0,0,0
6791,ACCIDENT,Al Hudaydah,14/12/2022,0,0,0
6790,ACCIDENT,Aden,13/12/2022,0,0,0
6789,ACCIDENT,Aden,13/12/2022,0,0,0
6788,ACCIDENT,Abyan,10/12/2022,0,0,0
6788,ACCIDENT,Abyan,10/12/2022,0,0,0
6787,EXPLOSION,Abyan,10/12/2022,0,0,0
6786,FLOOD,Abyan,10/12/2022,0,0,0
6785,ACCIDENT,Abyan,09/12/2022,0,0,0
6784,ACCIDENT,Abyan,09/12/2022,0,0,0
6783,ACCIDENT,Al Dhale'e,09/12/2022,0,0,0
6782,ACCIDENT,Al Dhale'e,10/12/2022,0,0,0
6781,ACCIDENT,Al Dhale'e,10/12/2022,0,0,0
6780,ACCIDENT,Al Dhale'e,10/12/2022,0,0,0
6779,ACCIDENT,Al Dhale'e,09/12/2022,0,0,0
6776,ACCIDENT,Lahj,10/12/2022,0,0,0
6775,ACCIDENT,Lahj,10/12/2022,0,0,0
6774,ACCIDENT,Lahj,10/12/2022,0,0,0
6774,ACCIDENT,Lahj,10/12/2022,0,0,0
6772,ACCIDENT,Lahj,10/12/2022,0,0,0
6771,ACCIDENT,Lahj,10/12/2022,0,0,0
6770,ACCIDENT,Taizz,10/12/2022,0,0,0
6769,ACCIDENT,Taizz,10/12/2022,0,0,0
6769,ACCIDENT,Taizz,10/12/2022,0,0,0
6768,ACCIDENT,Taizz,11/12/2022,0,0,0
6767,war,Taizz,11/12/2022,0,0,0
6766,ACCIDENT,Aden,10/12/2022,0,0,0
6765,ACCIDENT,Aden,10/12/2022,0,0,0
6764,ACCIDENT,Aden,09/12/2022,0,0,0
6762,armed conflict,Taizz,08/12/2022,0,0,0
6761,ACCIDENT,Taizz,07/12/2022,0,0,0
6761,ACCIDENT,Taizz,07/12/2022,0,0,0
6760,ACCIDENT,Taizz,07/12/2022,0,0,0
6759,ACCIDENT,Taizz,07/12/2022,0,0,0
6759,ACCIDENT,Taizz,07/12/2022,0,0,0
6758,ACCIDENT,Taizz,07/12/2022,0,0,0
6758,ACCIDENT,Taizz,07/12/2022,0,0,0
6757,ACCIDENT,Aden,06/12/2022,0,0,0
6756,ACCIDENT,Aden,05/12/2022,0,0,0
6755,ACCIDENT,Aden,05/12/2022,0,0,0
6753,ACCIDENT,Aden,04/12/2022,0,0,0
6752,ACCIDENT,Aden,04/12/2022,0,0,0
6752,ACCIDENT,Aden,04/12/2022,0,0,0
6751,ACCIDENT,Aden,03/12/2022,0,0,0
6751,ACCIDENT,Aden,03/12/2022,0,0,0
6750,EXPLOSION,Taizz,04/12/2022,0,0,0
6749,ACCIDENT,Taizz,03/12/2022,0,0,0
6748,ACCIDENT,Taizz,02/12/2022,0,0,0
6748,ACCIDENT,Taizz,02/12/2022,0,0,0
6747,ACCIDENT,Taizz,03/12/2022,0,0,0
6747,ACCIDENT,Taizz,03/12/2022,0,0,0
6747,ACCIDENT,Taizz,03/12/2022,0,0,0
6747,ACCIDENT,Taizz,03/12/2022,0,0,0
6746,war,Taizz,04/12/2022,0,0,0
6744,ACCIDENT,Abyan,04/12/2022,0,0,0
6744,ACCIDENT,Abyan,04/12/2022,0,0,0
6743,FLOOD,Taizz,04/12/2022,0,0,0
6741,FLOOD,Al Hudaydah,04/12/2022,0,0,0
6739,ACCIDENT,Aden,01/12/2022,0,0,0
6738,gunshot,Taizz,29/11/2022,0,0,0
6736,gunshot,Aden,28/11/2022,0,0,0
6735,ACCIDENT,Al Hudaydah,27/11/2022,0,0,0
6735,ACCIDENT,Al Hudaydah,27/11/2022,0,0,0
6734,ACCIDENT,Taizz,26/11/2022,0,0,0
6734,ACCIDENT,Taizz,26/11/2022,0,0,0
6734,ACCIDENT,Taizz,26/11/2022,0,0,0
6733,ACCIDENT,Taizz,24/11/2022,0,0,0
6732,ACCIDENT,Al Hudaydah,24/11/2022,0,0,0
6731,gunshot,Taizz,24/11/2022,0,0,0
6731,gunshot,Taizz,24/11/2022,0,0,0
6730,ACCIDENT,Abyan,22/11/2022,0,0,0
6728,ACCIDENT,Taizz,19/11/2022,0,0,0
6727,ACCIDENT,Taizz,19/11/2022,0,0,0
6726,EXPLOSION,Al Hudaydah,19/11/2022,0,0,0
6725,EXPLOSION,Abyan,18/11/2022,0,0,0
6724,EXPLOSION,Abyan,17/11/2022,0,0,0
6723,ACCIDENT,Aden,17/11/2022,0,0,0
6722,ACCIDENT,Aden,17/11/2022,0,0,0
6720,ACCIDENT,Taizz,13/11/2022,0,0,0
6719,ACCIDENT,Taizz,27/10/2022,0,0,0
6719,ACCIDENT,Taizz,27/10/2022,0,0,0
6718,EXPLOSION,Taizz,27/10/2022,0,0,0
6717,ACCIDENT,Taizz,02/11/2022,0,0,0
6716,gunshot,Taizz,02/11/2022,0,0,0
6715,ACCIDENT,Aden,02/11/2022,0,0,0
6714,EXPLOSION,Aden,01/11/2022,0,0,0
6713,ACCIDENT,Taizz,30/10/2022,0,0,0
6712,gunshot,Taizz,30/10/2022,0,0,0
6711,gunshot,Taizz,30/10/2022,0,0,0
6710,projectile,Taizz,30/10/2022,0,0,0
6709,gunshot,Taizz,28/10/2022,0,0,0
6708,EXPLOSION,Taizz,27/10/2022,0,0,0
6707,ACCIDENT,Al Dhale'e,29/10/2022,0,0,0
6706,ACCIDENT,Taizz,29/10/2022,0,0,0
6704,ACCIDENT,Socotra,24/10/2022,2,0,0
6702,ACCIDENT,Hadramaut,24/10/2022,0,0,0
6702,ACCIDENT,Hadramaut,24/10/2022,0,0,0
6701,ACCIDENT,Hadramaut,24/10/2022,0,0,0
6700,ACCIDENT,Hadramaut,24/10/2022,0,0,0
6699,ACCIDENT,Shabwah,24/10/2022,0,0,0
6698,ACCIDENT,Abyan,24/10/2022,0,0,0
6698,ACCIDENT,Abyan,24/10/2022,0,0,0
6697,ACCIDENT,Al Dhale'e,24/10/2022,0,0,0
6696,ACCIDENT,Lahj,24/10/2022,0,0,0
6696,ACCIDENT,Lahj,24/10/2022,0,0,0
6696,ACCIDENT,Lahj,24/10/2022,0,0,0
6695,ACCIDENT,Taizz,24/10/2022,0,0,0
6694,ACCIDENT,Taizz,24/10/2022,0,0,0
6694,ACCIDENT,Taizz,24/10/2022,0,0,0
6693,ACCIDENT,Aden,24/10/2022,0,0,0
6693,ACCIDENT,Aden,24/10/2022,0,0,0
6692,ACCIDENT,Al Maharah,24/10/2022,0,0,0
6691,ACCIDENT,Al Maharah,24/10/2022,0,0,0
6690,ACCIDENT,Socotra,23/10/2022,0,0,0
6689,ACCIDENT,Abyan,23/10/2022,0,0,0
6689,ACCIDENT,Abyan,23/10/2022,0,0,0
6688,ACCIDENT,Abyan,23/10/2022,0,0,0
6687,ACCIDENT,Shabwah,23/10/2022,0,0,0
6686,ACCIDENT,Taizz,23/10/2022,0,0,0
6684,ACCIDENT,Marib,22/10/2022,0,0,0
6683,EXPLOSION,Abyan,22/10/2022,0,0,0
6682,ACCIDENT,Abyan,21/10/2022,0,0,0
6681,ACCIDENT,Abyan,21/10/2022,0,0,0
6680,ACCIDENT,Taizz,17/10/2022,0,0,0
6679,ACCIDENT,Taizz,17/10/2022,0,0,0
6678,ACCIDENT,Aden,19/10/2022,1,0,0
6677,ACCIDENT,Aden,19/10/2022,0,0,0
6676,ACCIDENT,Socotra,19/10/2022,0,0,0
6675,ACCIDENT,Al Dhale'e,19/10/2022,0,0,0
6675,ACCIDENT,Al Dhale'e,19/10/2022,0,0,0
6674,ACCIDENT,Taizz,19/10/2022,0,0,0
6673,EXPLOSION,Taizz,19/10/2022,0,0,0
6673,EXPLOSION,Taizz,19/10/2022,0,0,0
6672,ACCIDENT,Aden,19/10/2022,0,0,0
6671,ACCIDENT,Aden,19/10/2022,0,0,0
6669,ACCIDENT,Aden,18/10/2022,1,0,0
6668,ACCIDENT,Aden,18/10/2022,0,0,0
6667,ACCIDENT,Abyan,17/10/2022,0,0,0
6666,ACCIDENT,Abyan,17/10/2022,0,0,0
6665,ACCIDENT,Aden,17/10/2022,0,0,0
6664,EPIDEMIC,Aden,17/10/2022,10,0,0
6663,ACCIDENT,Aden,17/10/2022,0,0,0
6662,EPIDEMIC,Taizz,17/10/2022,27,0,0
6661,ACCIDENT,Taizz,17/10/2022,0,0,0
6661,ACCIDENT,Taizz,17/10/2022,0,0,0
6660,ACCIDENT,Taizz,17/10/2022,0,0,0
6659,ACCIDENT,Hadramaut,17/10/2022,0,0,0
6657,ACCIDENT,Hadramaut,17/10/2022,0,0,0
6656,ACCIDENT,Hadramaut,17/10/2022,0,0,0
6655,ACCIDENT,Hadramaut,17/10/2022,0,0,0
6654,ACCIDENT,Marib,17/10/2022,0,0,0
6653,ACCIDENT,Marib,17/10/2022,0,0,0
6652,gunshot,Shabwah,17/10/2022,0,0,0
6651,ACCIDENT,Shabwah,17/10/2022,0,0,0
