Country,Year,GDP
Bulgaria,2005,2.99E+10
Bulgaria,2006,3.44E+10
Bulgaria,2007,4.44E+10
Bulgaria,2008,5.44E+10
Bulgaria,2009,5.20E+10
Bulgaria,2010,5.04E+10
Bulgaria,2011,5.74E+10
Bulgaria,2012,5.40E+10
Bulgaria,2013,5.56E+10
Bulgaria,2014,5.69E+10
Bulgaria,2015,5.06E+10
Bulgaria,2016,5.38E+10
Bulgaria,2017,5.90E+10
Bulgaria,2018,6.62E+10
Bulgaria,2019,6.79E+10
Bosnia and Herzegovina,2002,6651106833
Bosnia and Herzegovina,2003,8369878823
Bosnia and Herzegovina,2004,10596205714
Bosnia and Herzegovina,2005,11222953519
Bosnia and Herzegovina,2006,12864610994
Bosnia and Herzegovina,2007,15778767670
Bosnia and Herzegovina,2008,19112739664
Bosnia and Herzegovina,2009,17613836210
Bosnia and Herzegovina,2010,17176781337
Bosnia and Herzegovina,2011,18644723861
Bosnia and Herzegovina,2012,17226849297
Bosnia and Herzegovina,2013,18178503835
Bosnia and Herzegovina,2014,18558343508
Bosnia and Herzegovina,2015,16211541253
Bosnia and Herzegovina,2016,16913330694
Bosnia and Herzegovina,2017,18080118128
Bosnia and Herzegovina,2018,20183498491
Bosnia and Herzegovina,2019,20047848435
Costa Rica,2002,1.65E+10
Costa Rica,2003,1.72E+10
Costa Rica,2004,1.85E+10
Costa Rica,2005,1.99E+10
Costa Rica,2006,2.26E+10
Costa Rica,2007,2.67E+10
Costa Rica,2008,3.06E+10
Costa Rica,2009,30562361123
Costa Rica,2010,37268614024
Costa Rica,2011,42262697840
Costa Rica,2012,46473128286
Costa Rica,2013,49745088112
Costa Rica,2014,50577769838
Costa Rica,2015,54775994479
Costa Rica,2016,57157992434
Costa Rica,2017,58481858043
Costa Rica,2018,60553901420
Costa Rica,2019,61773944174
Djibouti,2002,5.91E+08
Djibouti,2003,622044665.5
Djibouti,2004,666072101.8
Djibouti,2005,708633194.7
Djibouti,2006,768873684
Djibouti,2007,847918929.1
Djibouti,2008,999105339.3
Djibouti,2009,1049110685
Djibouti,2010,1128611700
Djibouti,2011,1239144502
Djibouti,2012,1353632942
Djibouti,2013,2042817163
Djibouti,2014,2214681574
Djibouti,2015,2430287967
Djibouti,2016,2603554907
Djibouti,2017,2751461056
Djibouti,2018,3012820410
Djibouti,2019,3318716359
Dominican Republic,2002,27362875603
Dominican Republic,2003,21642882856
Dominican Republic,2004,2.27E+10
Dominican Republic,2005,3.61E+10
Dominican Republic,2006,3.81E+10
Dominican Republic,2007,4.40E+10
Dominican Republic,2008,4.81E+10
Dominican Republic,2009,4.83E+10
Dominican Republic,2010,5.39E+10
Dominican Republic,2011,5.80E+10
Dominican Republic,2012,6.07E+10
Dominican Republic,2013,6.27E+10
Dominican Republic,2014,6.72E+10
Dominican Republic,2015,7.12E+10
Dominican Republic,2016,7.57E+10
Dominican Republic,2017,8.00E+10
Dominican Republic,2018,85555378043
Dominican Republic,2019,88941298258
Algeria,2002,56760623478
Algeria,2003,67864849150
Algeria,2004,85324767230
Algeria,2005,1.03198E+11
Algeria,2006,1.17025E+11
Algeria,2007,1.34977E+11
Algeria,2008,1.71001E+11
Algeria,2009,1.37211E+11
Algeria,2010,1.61208E+11
Algeria,2011,2.00019E+11
Algeria,2012,2.0906E+11
Algeria,2013,2.09755E+11
Algeria,2014,2.13809E+11
Algeria,2015,1.65979E+11
Algeria,2016,1.60034E+11
Algeria,2017,1.67389E+11
Algeria,2018,1.73758E+11
Algeria,2019,1.69988E+11
Ethiopia,2002,7850809498
Ethiopia,2003,8623691300
Ethiopia,2004,10131187261
Ethiopia,2005,12401139454
Ethiopia,2006,15280861835
Ethiopia,2007,1.97E+10
Ethiopia,2008,2.71E+10
Ethiopia,2009,3.24E+10
Ethiopia,2010,2.99E+10
Ethiopia,2011,3.20E+10
Ethiopia,2012,4.33E+10
Ethiopia,2013,4.76E+10
Ethiopia,2014,5.56E+10
Ethiopia,2015,64589334979
Ethiopia,2016,74296618481
Ethiopia,2017,81770791971
Ethiopia,2018,84269348327
Ethiopia,2019,96107662398
Guatemala,2002,20776403774
Guatemala,2003,21917430694
Guatemala,2004,23965275794
Guatemala,2005,27211377107
Guatemala,2006,30231249625
Guatemala,2007,34113107372
Guatemala,2008,39136436614
Guatemala,2009,37733609795
Guatemala,2010,41338008613
Guatemala,2011,47654783852
Guatemala,2012,50388460925
Guatemala,2013,52996540576
Guatemala,2014,57852399834
Guatemala,2015,62186186576
Guatemala,2016,66053725049
Guatemala,2017,71612352781
Guatemala,2018,73118147808
Guatemala,2019,76710385880
Honduras,2002,7775078403
Honduras,2003,8140271081
Honduras,2004,8772146605
Honduras,2005,9672035709
Honduras,2006,10841742348
Honduras,2007,12275501784
Honduras,2008,13789715133
Honduras,2009,14587496229
Honduras,2010,15839344592
Honduras,2011,17710315006
Honduras,2012,18528601901
Honduras,2013,18499710128
Honduras,2014,19756494435
Honduras,2015,20979767785
Honduras,2016,21717622071
Honduras,2017,23136232230
Honduras,2018,24024189736
Honduras,2019,25095395475
Haiti,2002,3472191962
Haiti,2003,2960306121
Haiti,2004,3537720277
Haiti,2005,4310358096
Haiti,2006,4756204070
Haiti,2007,5885325590
Haiti,2008,6.55E+09
Haiti,2009,6.58E+09
Haiti,2010,6.62E+09
Haiti,2011,7.52E+09
Haiti,2012,7.89E+09
Haiti,2013,8.49E+09
Haiti,2014,8.78E+09
Haiti,2015,8.72E+09
Haiti,2016,7.97E+09
Haiti,2017,8.41E+09
Haiti,2018,9.66E+09
Haiti,2019,8.50E+09
Indonesia,2002,1.95661E+11
Indonesia,2003,2.34772E+11
Indonesia,2004,2.56837E+11
Indonesia,2005,2.85869E+11
Indonesia,2006,3.64571E+11
Indonesia,2007,4.32217E+11
Indonesia,2008,5.10229E+11
Indonesia,2009,5.3958E+11
Indonesia,2010,7.55094E+11
Indonesia,2011,8.92969E+11
Indonesia,2012,9.1787E+11
Indonesia,2013,9.12524E+11
Indonesia,2014,8.90815E+11
Indonesia,2015,8.60854E+11
Indonesia,2016,9.31877E+11
Indonesia,2017,1.01562E+12
Indonesia,2018,1.04224E+12
Indonesia,2019,1.11919E+12
India,2002,5.15E+11
India,2003,6.08E+11
India,2004,7.09E+11
India,2005,8.20E+11
India,2006,9.40E+11
India,2007,1.22E+12
India,2008,1.20E+12
India,2009,1.34E+12
India,2010,1.68E+12
India,2011,1.82E+12
India,2012,1.83E+12
India,2013,1.86E+12
India,2014,2.04E+12
India,2015,2.10E+12
India,2016,2.29E+12
India,2017,2.65E+12
India,2018,2.71E+12
India,2019,2.88E+12
Iran (Islamic Republic Of),2002,1.29E+11
Iran (Islamic Republic Of),2003,1.54E+11
Iran (Islamic Republic Of),2004,1.90E+11
Iran (Islamic Republic Of),2005,2.26E+11
Iran (Islamic Republic Of),2006,2.66E+11
Iran (Islamic Republic Of),2007,3.50E+11
Iran (Islamic Republic Of),2008,4.12E+11
Iran (Islamic Republic Of),2009,4.16E+11
Iran (Islamic Republic Of),2010,4.87E+11
Iran (Islamic Republic Of),2011,5.81E+11
Iran (Islamic Republic Of),2012,5.99E+11
Iran (Islamic Republic Of),2013,4.60E+11
Iran (Islamic Republic Of),2014,4.33E+11
Iran (Islamic Republic Of),2015,3.85E+11
Iran (Islamic Republic Of),2016,4.18E+11
Iran (Islamic Republic Of),2017,4.45E+11
Iran (Islamic Republic Of),2018,0.00E+00
Iran (Islamic Republic Of),2019,0.00E+00
Jamaica,2002,9.69E+09
Jamaica,2003,9.40E+09
Jamaica,2004,1.02E+10
Jamaica,2005,1.12E+10
Jamaica,2006,1.19E+10
Jamaica,2007,1.28E+10
Jamaica,2008,1.37E+10
Jamaica,2009,1.21E+10
Jamaica,2010,1.32E+10
Jamaica,2011,1.44E+10
Jamaica,2012,1.48E+10
Jamaica,2013,1.43E+10
Jamaica,2014,1.39E+10
Jamaica,2015,1.42E+10
Jamaica,2016,1.41E+10
Jamaica,2017,1.48E+10
Jamaica,2018,15713908816
Jamaica,2019,16458071068
Kenya,2002,13147743911
Kenya,2003,14904517650
Kenya,2004,16095337094
Kenya,2005,18737897745
Kenya,2006,25825524821
Kenya,2007,31958195182
Kenya,2008,35895153328
Kenya,2009,37021512049
Kenya,2010,40000088347
Kenya,2011,41953433591
Kenya,2012,50412754861
Kenya,2013,55096728048
Kenya,2014,61448046802
Kenya,2015,64007750169
Kenya,2016,69188755364
Kenya,2017,78965004656
Kenya,2018,87778582964
Kenya,2019,95503088538
Kyrgyzstan,2002,1605643105
Kyrgyzstan,2003,1919008090
Kyrgyzstan,2004,2211534585
Kyrgyzstan,2005,2460248026
Kyrgyzstan,2006,2834168889
Kyrgyzstan,2007,3802566171
Kyrgyzstan,2008,5139957785
Kyrgyzstan,2009,4690062255
Kyrgyzstan,2010,4794357795
Kyrgyzstan,2011,6197766119
Kyrgyzstan,2012,6605139933
Kyrgyzstan,2013,7335027592
Kyrgyzstan,2014,7.47E+09
Kyrgyzstan,2015,6.68E+09
Kyrgyzstan,2016,6.81E+09
Kyrgyzstan,2017,7.70E+09
Kyrgyzstan,2018,8.27E+09
Kyrgyzstan,2019,8.45E+09
Laos,2002,1758176653
Laos,2003,2023324407
Laos,2004,2366398120
Laos,2005,2735558726
Laos,2006,3452882514
Laos,2007,4222962988
Laos,2008,5443915121
Laos,2009,5832915387
Laos,2010,7127792630
Laos,2011,8749241114
Laos,2012,10191350120
Laos,2013,11942230508
Laos,2014,13268458232
Laos,2015,14390442307
Laos,2016,15805692546
Laos,2017,16853087485
Laos,2018,17953786416
Laos,2019,18173839128
Sri Lanka,2002,1.65E+10
Sri Lanka,2003,1.89E+10
Sri Lanka,2004,2.07E+10
Sri Lanka,2005,2.44E+10
Sri Lanka,2006,2.83E+10
Sri Lanka,2007,3.24E+10
Sri Lanka,2008,4.07E+10
Sri Lanka,2009,4.21E+10
Sri Lanka,2010,5.67E+10
Sri Lanka,2011,6.53E+10
Sri Lanka,2012,6.84E+10
Sri Lanka,2013,7.43E+10
Sri Lanka,2014,7.94E+10
Sri Lanka,2015,8.06E+10
Sri Lanka,2016,8.24E+10
Sri Lanka,2017,8.74E+10
Sri Lanka,2018,8.84E+10
Sri Lanka,2019,8.40E+10
Morocco,2002,42236836821
Morocco,2003,5.21E+10
Morocco,2004,59626020162
Morocco,2005,6.23E+10
Morocco,2006,6.86E+10
Morocco,2007,7.90E+10
Morocco,2008,9.25E+10
Morocco,2009,92897320376
Morocco,2010,93216746662
Morocco,2011,1.01E+11
Morocco,2012,98266306615
Morocco,2013,1.07E+11
Morocco,2014,1.10E+11
Morocco,2015,1.01E+11
Morocco,2016,1.03E+11
Morocco,2017,1.10E+11
Morocco,2018,1.18E+11
Morocco,2019,1.19E+11
Madagascar,2002,5351701534
Madagascar,2003,6372498720
Madagascar,2004,5064732716
Madagascar,2005,5859269849
Madagascar,2006,6395712392
Madagascar,2007,8524620739
Madagascar,2008,10725137478
Madagascar,2009,9616879921
Madagascar,2010,9982711030
Madagascar,2011,11551821062
Madagascar,2012,11578978053
Madagascar,2013,12423557907
Madagascar,2014,12522959157
Madagascar,2015,11323023787
Madagascar,2016,11848615018
Madagascar,2017,13176313233
Madagascar,2018,13853433948
Madagascar,2019,14083906357
Mexico,2002,7.72106E+11
Mexico,2003,7.29336E+11
Mexico,2004,7.82241E+11
Mexico,2005,8.77476E+11
Mexico,2006,9.75387E+11
Mexico,2007,1.0527E+12
Mexico,2008,1.10999E+12
Mexico,2009,9.00045E+11
Mexico,2010,1.0578E+12
Mexico,2011,1.18049E+12
Mexico,2012,1.20109E+12
Mexico,2013,1.27444E+12
Mexico,2014,1.31456E+12
Mexico,2015,1.17056E+12
Mexico,2016,1.0779E+12
Mexico,2017,1.15774E+12
Mexico,2018,1.2207E+12
Mexico,2019,1.25829E+12
Myanmar,2002,6777632512
Myanmar,2003,10467109978
Myanmar,2004,10567354056
Myanmar,2005,11986972419
Myanmar,2006,14502553710
Myanmar,2007,20182477481
Myanmar,2008,31862554102
Myanmar,2009,36906181381
Myanmar,2010,49540813342
Myanmar,2011,59977326086
Myanmar,2012,59937797559
Myanmar,2013,60269734045
Myanmar,2014,65446199788
Myanmar,2015,67822772707
Myanmar,2016,67184236747
Myanmar,2017,68945867478
Myanmar,2018,76168043982
Myanmar,2019,7.61E+10
Mozambique,2002,5.62E+09
Mozambique,2003,6.25E+09
Mozambique,2004,7.59E+09
Mozambique,2005,8.51E+09
Mozambique,2006,9.15E+09
Mozambique,2007,1.04E+10
Mozambique,2008,1.26E+10
Mozambique,2009,11899763735
Mozambique,2010,11087646868
Mozambique,2011,14381552433
Mozambique,2012,16350804543
Mozambique,2013,16974320551
Mozambique,2014,1.77E+10
Mozambique,2015,1.60E+10
Mozambique,2016,1.19E+10
Mozambique,2017,1.32E+10
Mozambique,2018,1.47E+10
Mozambique,2019,1.49E+10
Namibia,2002,3.28E+09
Namibia,2003,4.81E+09
Namibia,2004,6.48E+09
Namibia,2005,7.12E+09
Namibia,2006,7.84E+09
Namibia,2007,8.74E+09
Namibia,2008,8.49E+09
Namibia,2009,8.88E+09
Namibia,2010,1.13E+10
Namibia,2011,12343501808
Namibia,2012,13042007432
Namibia,2013,12011207762
Namibia,2014,12356482878
Namibia,2015,1.13E+10
Namibia,2016,1.07E+10
Namibia,2017,1.27E+10
Namibia,2018,1.35E+10
Namibia,2019,1.24E+10
Niger (the),2002,2.77E+09
Niger (the),2003,3.39E+09
Niger (the),2004,3.74E+09
Niger (the),2005,4.37E+09
Niger (the),2006,4.74E+09
Niger (the),2007,5.69E+09
Niger (the),2008,7.22E+09
Niger (the),2009,7.28E+09
Niger (the),2010,7.79E+09
Niger (the),2011,8.70E+09
Niger (the),2012,9.37E+09
Niger (the),2013,10156855204
Niger (the),2014,10815312544
Niger (the),2015,9667589437
Niger (the),2016,10284627190
Niger (the),2017,11166063887
Niger (the),2018,12826750567
Niger (the),2019,1.29E+10
Nicaragua,2002,5.22E+09
Nicaragua,2003,5.32E+09
Nicaragua,2004,5.80E+09
Nicaragua,2005,6.32E+09
Nicaragua,2006,6.76E+09
Nicaragua,2007,7.42E+09
Nicaragua,2008,8.50E+09
Nicaragua,2009,8.30E+09
Nicaragua,2010,8.76E+09
Nicaragua,2011,9.77E+09
Nicaragua,2012,1.05E+10
Nicaragua,2013,1.10E+10
Nicaragua,2014,1.19E+10
Nicaragua,2015,1.28E+10
Nicaragua,2016,1.33E+10
Nicaragua,2017,1.38E+10
Nicaragua,2018,1.31E+10
Nicaragua,2019,1.25E+10
Nepal,2002,6050875807
Nepal,2003,6330473097
Nepal,2004,7273938315
Nepal,2005,8130258041
Nepal,2006,9.04E+09
Nepal,2007,1.03E+10
Nepal,2008,1.25E+10
Nepal,2009,1.29E+10
Nepal,2010,1.60E+10
Nepal,2011,1.89E+10
Nepal,2012,1.89E+10
Nepal,2013,1.93E+10
Nepal,2014,2.00E+10
Nepal,2015,2.14E+10
Nepal,2016,2.12E+10
Nepal,2017,2.52E+10
Nepal,2018,2.92E+10
Nepal,2019,3.06E+10
Pakistan,2002,7.99E+10
Pakistan,2003,91760542940
Pakistan,2004,1.0776E+11
Pakistan,2005,1.20E+11
Pakistan,2006,1.37E+11
Pakistan,2007,1.52E+11
Pakistan,2008,1.70E+11
Pakistan,2009,1.68E+11
Pakistan,2010,1.77E+11
Pakistan,2011,2.14E+11
Pakistan,2012,2.24E+11
Pakistan,2013,2.31E+11
Pakistan,2014,2.44E+11
Pakistan,2015,2.71E+11
Pakistan,2016,2.79E+11
Pakistan,2017,3.05E+11
Pakistan,2018,3.15E+11
Pakistan,2019,2.78E+11
Peru,2002,54777553515
Peru,2003,58731030122
Peru,2004,66768703498
Peru,2005,76060606061
Peru,2006,8.86E+10
Peru,2007,1.02E+11
Peru,2008,1.21E+11
Peru,2009,1.21E+11
Peru,2010,1.48E+11
Peru,2011,1.72E+11
Peru,2012,1.93E+11
Peru,2013,2.01E+11
Peru,2014,2.01E+11
Peru,2015,1.90E+11
Peru,2016,1.92E+11
Peru,2017,2.11E+11
Peru,2018,2.22E+11
Peru,2019,2.27E+11
Philippines (the),2002,84307369868
Philippines (the),2003,87039145965
Philippines (the),2004,95001994600
Philippines (the),2005,1.0742E+11
Philippines (the),2006,1.27653E+11
Philippines (the),2007,1.5598E+11
Philippines (the),2008,1.81007E+11
Philippines (the),2009,1.76132E+11
Philippines (the),2010,2.08369E+11
Philippines (the),2011,2.34217E+11
Philippines (the),2012,2.61921E+11
Philippines (the),2013,2.83903E+11
Philippines (the),2014,2.97484E+11
Philippines (the),2015,3.06446E+11
Philippines (the),2016,3.18627E+11
Philippines (the),2017,3.28481E+11
Philippines (the),2018,3.46842E+11
Philippines (the),2019,3.77E+11
Romania,2002,4.61E+10
Romania,2003,5.78E+10
Romania,2004,7.50E+10
Romania,2005,9.85E+10
Romania,2006,1.22E+11
Romania,2007,1.75E+11
Romania,2008,2.14E+11
Romania,2009,1.74E+11
Romania,2010,1.66E+11
Romania,2011,1.83E+11
Romania,2012,1.71E+11
Romania,2013,1.91E+11
Romania,2014,2.00E+11
Romania,2015,1.78E+11
Romania,2016,1.88E+11
Romania,2017,2.12E+11
Romania,2018,2.42E+11
Romania,2019,2.50E+11
El Salvador,2002,1.27E+10
El Salvador,2003,1.32E+10
El Salvador,2004,1.37E+10
El Salvador,2005,1.47E+10
El Salvador,2006,1.60E+10
El Salvador,2007,1.70E+10
El Salvador,2008,1.80E+10
El Salvador,2009,1.76E+10
El Salvador,2010,18448000000
El Salvador,2011,20284000000
El Salvador,2012,21386000000
El Salvador,2013,21990970000
El Salvador,2014,22593480000
El Salvador,2015,23438240000
El Salvador,2016,24191440000
El Salvador,2017,24979200000
El Salvador,2018,26117400000
El Salvador,2019,27022640000
Somalia,2003,0
Somalia,2004,0
Somalia,2005,0
Somalia,2006,0
Somalia,2007,0
Somalia,2008,0
Somalia,2009,0
Somalia,2010,0
Somalia,2011,0
Somalia,2012,0
Somalia,2013,0
Somalia,2014,0
Somalia,2015,0
Somalia,2016,0
Somalia,2017,0
Somalia,2018,0
Somalia,2019,0
Tajikistan,2002,1221120799
Tajikistan,2003,1555301496
Tajikistan,2004,2076182461
Tajikistan,2005,2312327536
Tajikistan,2006,2830220713
Tajikistan,2007,3719506173
Tajikistan,2008,5161337336
Tajikistan,2009,4.98E+09
Tajikistan,2010,5.64E+09
Tajikistan,2011,6.52E+09
Tajikistan,2012,7.63E+09
Tajikistan,2013,8.45E+09
Tajikistan,2014,9.11E+09
Tajikistan,2015,7.85E+09
Tajikistan,2016,6.95E+09
Tajikistan,2017,7.16E+09
Tajikistan,2018,7.52E+09
Tajikistan,2019,8.12E+09
Viet Nam,2002,35064105501
Viet Nam,2003,39552513316
Viet Nam,2004,45427854693
Viet Nam,2005,57633255618
Viet Nam,2006,66371664817
Viet Nam,2007,77414425532
Viet Nam,2008,99130304099
Viet Nam,2009,1.06015E+11
Viet Nam,2010,1.15932E+11
Viet Nam,2011,1.35539E+11
Viet Nam,2012,1.5582E+11
Viet Nam,2013,1.71222E+11
Viet Nam,2014,1.86205E+11
Viet Nam,2015,1.93241E+11
Viet Nam,2016,2.05276E+11
Viet Nam,2017,2.2378E+11
Viet Nam,2018,2.45214E+11
Viet Nam,2019,2.61921E+11
Yemen,2002,10694628092
Yemen,2003,11777966673
Yemen,2004,13872791659
Yemen,2005,16746344766
Yemen,2006,19061978586
Yemen,2007,21650532264
Yemen,2008,26910851362
Yemen,2009,25130274124
Yemen,2010,30906749533
Yemen,2011,32726417212
Yemen,2012,35401341663
Yemen,2013,40415235702
Yemen,2014,43206469767
Yemen,2015,36976204506
Yemen,2016,28084676409
Yemen,2017,24561327989
Yemen,2018,27591261663
Yemen,2019,0
South Africa,2002,1.15482E+11
South Africa,2003,1.75257E+11
South Africa,2004,2.2859E+11
South Africa,2005,2.57773E+11
South Africa,2006,2.71638E+11
South Africa,2007,2.99416E+11
South Africa,2008,2.8677E+11
South Africa,2009,2.95936E+11
South Africa,2010,3.75349E+11
South Africa,2011,4.16419E+11
South Africa,2012,3.96333E+11
South Africa,2013,3.66829E+11
South Africa,2014,3.50905E+11
South Africa,2015,3.17621E+11
South Africa,2016,2.96357E+11
South Africa,2017,3.49554E+11
South Africa,2018,3.68289E+11
South Africa,2019,3.51432E+11
